,content_descriptors,game_name,platforms,rating
5,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto Vice City,"iOS, Macintosh, Mobile Phone, Windows PC, PlayStation 2, Xbox",M
0,No Descriptors,Brain Age 2: More Training in Minutes a Day,Nintendo DS,E
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Modern Warfare 3,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Modern Warfare 3,Wii,M
2,"Blood, Mild Language, Violence",Call of Duty: Modern Warfare 3: Defiance,Nintendo DS,T
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language, Suggestive Themes",Call of Duty®: Black Ops Cold War,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty®: Black Ops 4 - Battle Edition,Windows PC,M
2,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty®: Black Ops 4,"Windows PC, PlayStation 4, Xbox One",M
3,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Zombies Chronicles,"Windows PC, PlayStation 4, Xbox One",M
4,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Multiplayer Starter Pack,Windows PC,M
5,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III ,"PlayStation 3, Xbox 360",M
6,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III,"Windows PC, PlayStation 4, Xbox One",M
7,"Blood, Drug Reference, Strong Language, Violence",Call of Duty: Black Ops Declassified,PS Vita,M
8,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",Call of Duty: Black Ops II,"Windows PC, PlayStation 3, Wii U, Xbox 360, Xbox One",M
9,"Blood and Gore, Violence",Call of Duty: Black Ops,Nintendo DS,T
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Zombies Chronicles,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Multiplayer Starter Pack,Windows PC,M
2,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III ,"PlayStation 3, Xbox 360",M
3,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III,"Windows PC, PlayStation 4, Xbox One",M
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Zombies Chronicles,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Multiplayer Starter Pack,Windows PC,M
2,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III ,"PlayStation 3, Xbox 360",M
3,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III,"Windows PC, PlayStation 4, Xbox One",M
4,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",Call of Duty: Black Ops II,"Windows PC, PlayStation 3, Wii U, Xbox 360, Xbox One",M
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Zombies Chronicles,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Multiplayer Starter Pack,Windows PC,M
2,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III ,"PlayStation 3, Xbox 360",M
3,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III,"Windows PC, PlayStation 4, Xbox One",M
4,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",Call of Duty: Black Ops II,"Windows PC, PlayStation 3, Wii U, Xbox 360, Xbox One",M
0,"Blood, Intense Violence, Strong Language",Call of Duty®: Modern Warfare 2 Campaign Remastered,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood, Drug Reference, Intense Violence, Language",Call of Duty: Modern Warfare 2,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Modern Warfare 3,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Modern Warfare 3,Wii,M
2,"Blood, Mild Language, Violence",Call of Duty: Modern Warfare 3: Defiance,Nintendo DS,T
0,"Blood, Strong Language, Violence",Grand Theft Auto III,PlayStation 4,M
1,"Blood, Strong Language, Violence",Grand Theft Auto 3,PlayStation 3,M
2,"Blood, Strong Language, Violence",Grand Theft Auto 3,"iOS, Macintosh, Mobile Phone, Windows PC, PlayStation 2, Xbox",M
0,"Cartoon Violence, Crude Humor",Super Smash Bros. Brawl,Wii,T
0,"Blood and Gore, Drug Reference, Intense Violence, Strong Language, Suggestive Themes",Call of Duty®: Black Ops Cold War,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",M
1,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty®: Black Ops 4 - Battle Edition,Windows PC,M
2,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty®: Black Ops 4,"Windows PC, PlayStation 4, Xbox One",M
3,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Zombies Chronicles,"Windows PC, PlayStation 4, Xbox One",M
4,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III Multiplayer Starter Pack,Windows PC,M
5,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III ,"PlayStation 3, Xbox 360",M
6,"Blood and Gore, Drug Reference, Intense Violence, Strong Language",Call of Duty: Black Ops III,"Windows PC, PlayStation 4, Xbox One",M
7,"Blood, Drug Reference, Strong Language, Violence",Call of Duty: Black Ops Declassified,PS Vita,M
8,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Drugs",Call of Duty: Black Ops II,"Windows PC, PlayStation 3, Wii U, Xbox 360, Xbox One",M
9,"Blood and Gore, Violence",Call of Duty: Black Ops,Nintendo DS,T
0,No Descriptors,Animal Crossing™: Wild World,Wii U,E
0,Comic Mischief,Mario Kart 7,Nintendo 3DS,E
0,"Blood, Language, Violence",Halo 3: ODST,"Windows PC, Xbox 360",M
1,"Blood and Gore, Mild Language, Violence",Halo 3,"Windows PC, Xbox 360",M
0,"Blood and Gore, Intense Violence, Mature Humor, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto V,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto Vice City,PlayStation 4,M
2,"Blood and Gore, Intense Violence, Mature Humor, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto V,"PlayStation 3, Xbox 360",M
3,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto: Vice City,PlayStation 3,M
4,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PlayStation 3,M
5,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PlayStation 2,M
6,"Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Grand Theft Auto: Vice City Stories,PSP,M
7,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Grand Theft Auto Vice City,"iOS, Macintosh, Mobile Phone, Windows PC, PlayStation 2, Xbox",M
0,No Descriptors,Super Mario 64,"Wii, Wii U",E
1,No Descriptors,Super Mario 64 DS,"Nintendo DS, Wii U",E
0,Mild Lyrics,Gran Turismo 4,PlayStation 2,E
0,Mild Cartoon Violence,Super Mario Galaxy 2,"Wii, Wii U",E
1,Mild Cartoon Violence,Super Mario Galaxy,"Wii, Wii U",E
0,No Descriptors,Super Mario Land 2: 6 Golden Coins,Nintendo 3DS,E
0,"Blood, Intense Violence, Partial Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto IV,Xbox One,M
1,"Blood, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto IV: The Lost and Damned,Xbox 360,M
2,"Blood, Intense Violence, Partial Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto IV,"Windows PC, PlayStation 3, Xbox 360",M
0,Use of Alcohol and Tobacco,Gran Turismo Sport,PlayStation 4,E
1,Mild Lyrics,Gran Turismo 6,PlayStation 3,E
2,"Crude Humor, Mild Blood, Mild Language, Mild Suggestive Themes",Gran Turismo TV - Top Gear Series 9 Episode 4,PlayStation 3,T
3,"Mild Lyrics, Mild Suggestive Themes",Gran Turismo TV - Super GT 2009 Round 1,PlayStation 3,E
4,"Mild Lyrics, Mild Suggestive Themes",Gran Turismo TV - Super GT 2009 Round 5,PlayStation 3,E
5,Mild Lyrics,Gran Turismo 5,PlayStation 3,E
6,No Descriptors,Gran Turismo,"PS Vita, PSP",E
7,"Language, Mild Suggestive Themes",Gran Turismo TV - Top Gear Season 10 Episode 9,PlayStation 3,T
8,Mild Suggestive Themes,Gran Turismo 5 Prologue,PlayStation 3,E
9,No Descriptors,Gran Turismo HD Concept,PlayStation 3,E
0,Mild Cartoon Violence,SUPER MARIO 3D LAND™,Nintendo 3DS,E
0,Mild Lyrics,Gran Turismo 5,PlayStation 3,E
1,Mild Suggestive Themes,Gran Turismo 5 Prologue,PlayStation 3,E
0,"Blood, Intense Violence, Strong Language",Call of Duty®: Modern Warfare 2 Campaign Remastered,"Windows PC, PlayStation 4, Xbox One",M
1,"Blood, Drug Reference, Intense Violence, Language",Call of Duty: Modern Warfare 2,"Windows PC, PlayStation 3, Xbox 360, Xbox One",M
0,"Blood, Intense Violence, Partial Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto IV,Xbox One,M
1,"Blood, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto IV: The Lost and Damned,Xbox 360,M
2,"Blood, Intense Violence, Partial Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Grand Theft Auto IV,"Windows PC, PlayStation 3, Xbox 360",M
0,No Descriptors,Super Mario All-Stars,Wii,E
0,No Descriptors,Super Mario 64,"Wii, Wii U",E
1,No Descriptors,Super Mario 64 DS,"Nintendo DS, Wii U",E
0,Lyrics,Just Dance 3,"PlayStation 3, Wii, Xbox 360",E10plus
0,"Blood, Drug Reference, Intense Violence, Strong Language",Call of Duty: Ghosts,"PlayStation 3, Wii U, Xbox 360",M
1,"Blood, Drug Reference, Intense Violence, Strong Language",Call of Duty: Ghosts,"Windows PC, PlayStation 4, Xbox One",M
0,"Blood, Violence",Halo: Reach,Windows PC,M
1,"Blood, Violence",Halo: Reach,"Xbox 360, Xbox One",M
0,No Descriptors,Mario Kart 64,"Wii, Wii U",E
0,Comic Mischief,New Super Mario Bros. 2,Nintendo 3DS,E
0,"Blood, Violence",Halo 4,"Windows PC, Xbox 360",M
0,"Language, Suggestive Themes, Use of Alcohol and Tobacco, Violence",FINAL FANTASY VII Remake,"PlayStation 4, PlayStation 5",T
1,"Mild Blood, Mild Language, Suggestive Themes, Use of Alcohol, Violence",FINAL FANTASY VIII: Remastered,"Windows PC, Nintendo Switch, Xbox One",T
2,"Fantasy Violence, Blood, Language, Mild Suggestive Themes",FINAL FANTASY VII,PlayStation 4,T
3,"Blood, Fantasy Violence, Language, Mild Suggestive Themes",FINAL FANTASY VII,"Windows PC, Xbox One",T
4,"Mild Language, Suggestive Themes, Violence",Final Fantasy VIII,"PlayStation 3, PS Vita, PSP",T
5,"Comic Mischief, Mild Fantasy Violence, Mild Language",Final Fantasy VII,"PlayStation 3, PS Vita, PSP",T
6,"Blood, Mild Language, Mild Suggestive Themes, Violence",CRISIS CORE -FINAL FANTASY VII-,PSP,T
7,"Mild Language, Use of Tobacco, Violence",Dirge of Cerberus - Final Fantasy VII,PlayStation 2,T
8,"Animated Violence, Mild Language, Suggestive Themes",Final Fantasy VIII,"Windows PC, PlayStation/PS one",T
9,"Comic Mischief, Mild Animated Violence, Mild Language",Final Fantasy VII,PlayStation/PS one,T
0,"Blood, Drug Reference, Intense Violence, Strong Language",Call of Duty: Ghosts,"PlayStation 3, Wii U, Xbox 360",M
1,"Blood, Drug Reference, Intense Violence, Strong Language",Call of Duty: Ghosts,"Windows PC, PlayStation 4, Xbox One",M
0,Mild Lyrics,Just Dance 2021,"PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",E
1,"Mild Lyrics, Mild Suggestive Themes",Just Dance 2020,"PlayStation 4, Stadia, Nintendo Switch, Wii, Xbox One",E10plus
2,Mild Lyrics,Just Dance 2019,"PlayStation 4, Nintendo Switch, Wii, Wii U, Xbox 360, Xbox One",E
3,Lyrics,Just Dance 2018,Wii,E10plus
4,Lyrics,Just Dance 2018,"PlayStation 3, Nintendo Switch, Wii U, Xbox 360",E10plus
5,Lyrics,Just Dance 2018,"PlayStation 4, Xbox One",E10plus
6,Mild Lyrics,Just Dance 2017,"Windows PC, PlayStation 4, Xbox One",E10plus
7,Mild Lyrics,Just Dance 2017,"PlayStation 3, Nintendo Switch, Wii U, Xbox 360",E10plus
8,Mild Lyrics,Just Dance 2017,Wii,E10plus
